METRÔ DE SÃO PAULO;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2025;;;;;;;;;;;;;
Demanda de Passageiros por Estação - Média Dias Úteis (em milhares);;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;;;;;;;
Estação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Estação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Vila Prudente¹;58;67;69;68;67;65;60;67;69;68;70;63;66
Oratório;6;6;7;7;7;7;7;7;8;7;8;7;7
São Lucas;4;5;5;5;5;5;5;5;5;5;5;5;5
Camilo Haddad;3;4;4;4;4;4;4;4;4;4;4;4;4
Vila Tolstói;5;6;5;6;5;5;5;6;6;6;6;5;6
Vila União;5;6;6;6;6;6;5;6;6;6;6;6;6
Jardim Planalto;4;5;5;5;5;5;4;5;5;5;5;5;5
Sapopemba;8;9;9;9;9;9;9;9;10;10;10;9;9
Fazenda da Juta;4;5;5;5;5;5;4;5;5;5;5;4;5
São Mateus;15;17;17;17;17;17;16;17;18;17;18;17;17
Jardim Colonial;11;12;13;13;13;13;12;13;13;13;14;12;13
Total;123;142;146;145;143;140;130;143;148;146;151;137;141
¹ Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;;;;;;;
;;;;;;;;;;;;;
Fonte: Diretoria de Operações/Dep. Apoio à Gestão/Coord. Estudos Estatísticos e Design Estratégico - 15/01/2026;;;;;;;;;;;;;
